Song Name,Lyric,Artist,Year,Car Brand
Money Balls,"I drive the Phantom off the lawn, my neighbors think I'm LeBron/Diamonds in my charm, white b*#$hes on my arm.'",Juicy J,2012,Rolls Royce
Get In My Car,50 Cent sings/raps that he'd rather use his '64 Chevy Impala to get the girls than using pick up lines. He also stated in the 2nd verse that he'd fuck your girl in the back seat of his jeep. Basically summing up that 50 would rather use cars to get girls.,50 Cent,2005,"64 Chevy Impala, Jeep and the Benz."
Bugatti,"As said by Ace Hood himself, the record inspires the listeners into getting up and pursuing their dreams, 'sky is not the limit'. The song is metaphor for success, by waking up in a new $2,000,000 Bugatti you wake up to success!",Ace Hood,2013,Bugatti
Ridin',"They see me rolling, They hatin",Chamillionaire,2005,
99 Problems,Jay Z describes in the second verse how he had to pull over because he was driving with 55 mph in a 54 mph zone (see: racial profiling).,Jay-Z,2003,
Aston Martin Music,"This song really highlights the lavish vibes that are also elicited from the Aston Martin brand. Hints of love and lost echo in the track (especially in the bridge) and the soft, mellow tones in the beat further add to the mood this song sets. The correlation presented is strong.",Rick Ross,2010,Aston Martin
"Beamer, Benz or Bentley","Lloyd Banks really set off on the road of braggadocio with this song. He boasts how his girl has three options to be driven in, and they're all quite revered and known for prestige and luxury. Although no models are named,æhigh horsepoweræas well as high potential top speed leave one to believe one of the primary cars in question was aæBentley Continental GT.",Lloyd Banks,2010,"BMW, Bentley, Mercedes-Benz."
Chevys,"Powered by heavy, petal-to-the-metal guitars and die-hard brand loyalty, this Chevrolet anthem by the Flint, Michigan's, legends might be one of the more gutter promo campaigns ever heard.",Dayton Family,2009,
Cadillac Girl,"Skating over a menacing slumper with bouncy Bay Area flavor, Mac Dre and Dre Dog remind riders they don't have to be scared to rep their wheels.",Andre Nickatina & Mac Dre,2009,Cadillac
Change Clothes,"I ain't gon' tell you again, let's get ghost in the Phantom/You can bring your friend, we can make this a tandem",Jay-Z,2009,Rolls Royce
Superrappin',"And if a Stutz break down, I make another choice/I will dull my grill in a new rolls royce",Grandmaster Flash and the Furious Five,2003,Rolls Royce
Flexing,"Now hold up, I went and bought a Phantom cause I wanted to/And now I drive the same one some stunnas do",Meek Mill,2012,Rolls Royce
Heisman,"Ahh it's that drop top Phantom chop all gold Rolly tock/F**k your fans, f**k a cop, all my b*tches Betty bops",Tyga,2006,Rolls Royce
Ridin' In My Chevy,Ridin' in my Chevy and I'm sittin' at the light,Snoop Dog,2012,Chevrolet
Bottoms Up,"I don't say ïHi,' I say ïkeys to the Benzî/Keys to the Benz?Keys to the Benz!/Muhf**kin right yeah, V to the 10",Nicki Minaj,2010,Mercedes Benz
Ride Wit Me,If you want to go and get high with me/Smoke a L in the back of the Benz-y/Oh why must I feel this way?,Nelly,2006,Mercedes Benz
On Fire Tonight,"Keep the toaster in the Holster (Tell me have you seen her)/I did yeah I found one a little brown one/And she down son, plush she pushed a Beamer",Cam'ron,2008,BMW
American Gangster,"Don't cry for me Argentina/I mobbed the Beamer/Took trips abroad, got mobbed in Sardina",Jay-Z,2005,BMW
The Autograph,"Hey, don't you see me man?/Making my wishes come true with no genie man/I got the keys to my Beamer with no Beenie Man",J. Cole,2010,BMW
I'm Not a Star,"All black Lamborghini, smokin' on the sticky/Got a couple dollars, now this n***a think he Ricky",Rick Ross,2010,Lamborghini
Hypnotize,"Now who's the real dookie, meaning who's really the shit/Them n***as ride d*cks, Frank White push the sticks/On the Lexus, LX, four and a half/Bulletproof glass tints if I want some a**",Notorious B.I.G.,1997,Lexus
Can I Live,"My mind is infested with sick thoughts that circle/Like a Lexus, if driven wrong it's sure to hurt you",Jay-Z,1996,Lexus
Ignition (Remix),Now I'm not tryin' to be rude/But hey pretty girl I'm feelin' you/The way you do the things ya do/Reminds me of my Lexus coupe,R. Kelly,2003,Lexus
Rich and Black,Quick to back you in like the Lexus shit,Raekwon,2011,Lexus
Turn My Swag On,"Dunkin' on the game like Stephon Marbury/I got red Aston Martin, I call it my strawberry",,Soulja Boy,Aston Martin
Ching-A-Ling,"Miss don't flop cause I only get props/House on the water, Aston Martin in the lot",Missy Elliot,2008,Aston Martin
It Must Be Me,Is it the shades? Is it the J's?/Is it the Bentley with the full color ways?,The Game,2010,Bently
Slow Down,"But we free so what's that supposed to mean? Bingo, no higher, them tires, that Bentley on 20's is spiffy, it's done by 310 altering/I wanna get one just like it and customize it and ride it",Lupe Fiasco,2008,Bently
Red Velvet,"For what though, some diamonds and a Bentley what you dyin' for?",OutKast,2000,Bently
I Get Money,"I ride, wreck the new Jag, I just buy the new Jag",50 Cent,2007,Jaguar
Where The Party At,"Come in as is, doo-rags and Tims/I'm rollin' past his, his little Jag and Benz/With the rolls, not the one with the stem, the one with the rims",Nelly in Jagged Edge's,2009,Jaguar
Bag of Money,When I murk through passed in a dark blue Jag/Say she like my style but I talk too fast,Bag of Money,2012,Jaguar
Astronaut Pussy Welcome To California,"Mentioned in 34 of The Game's songs, such as 'Astronaut Pussy Welcome To California': Stand from grandmother's porch to my executive Porsche",The Game,2013,Porsche
Change Your Life,"You know I ride smooth, that Maserati sick / I need a parachute, baby I'm high as shit",The Game,2011,Maserati
Scream on Em,"I black out like February, back out what's necessary / Oh-seven Bugatti with Jimmy Iovine's secretary.",The Game,2007,Bugatti
Super Cocky,Twin ferraris got em thinking I'm down with illuminati,Gucci Mane,2008,Ferrari
Contraband,"Audi R8 creepin', like a tarantula / Making moves, spectacular",Migos,2014,Audi
16 Game,"Baby, Brian, B, Bubba you can call me what you feel / Hoppin' out the platinum Hummer with the platinum grill",Gucci Mane,2007,Hummer
